timestamp,ORCHIDS,TRANSPORT_FEES,EXPORT_TARIFF,IMPORT_TARIFF,SUNLIGHT,HUMIDITY
0,1200.0,1.5,10.5,-2.0,2500.0,79.0
100,1201.75,1.5,9.5,-2.0,2499.4197,79.0041
200,1201.75,1.5,9.5,-2.0,2498.8457,79.00821
300,1201.75,1.5,9.5,-2.0,2498.278,79.01234
400,1201.75,1.5,9.5,-2.0,2497.7166,79.01649
500,1200.25,1.5,9.5,-2.0,2497.1614,79.02066
600,1201.75,1.5,9.5,-2.0,2496.6125,79.02485
700,1202.75,1.5,9.5,-2.0,2496.0698,79.02906
800,1204.75,1.5,9.5,-2.0,2495.5334,79.03329
900,1204.25,1.5,9.5,-2.0,2495.0032,79.03754
1000,1203.25,1.5,9.5,-2.0,2494.4792,79.04181
1100,1202.75,1.5,9.5,-2.0,2493.9614,79.0461
1200,1201.75,1.5,9.5,-2.0,2493.45,79.0504
1300,1199.75,1.5,9.5,-2.0,2492.9446,79.054726
1400,1199.75,1.5,9.5,-2.0,2492.4453,79.05907
1500,1199.75,1.5,9.5,-2.0,2491.9521,79.06343
1600,1199.75,1.5,9.5,-2.0,2491.4653,79.06782
1700,1198.25,1.5,9.5,-2.0,2490.9846,79.07222
1800,1199.25,1.5,9.5,-2.0,2490.51,79.07664
1900,1197.75,1.5,9.5,-2.0,2490.0415,79.08108
2000,1197.75,1.5,9.5,-2.0,2489.579,79.08554
2100,1197.75,1.5,9.5,-2.0,2489.123,79.09002
2200,1198.0,1.5,9.5,-2.0,2488.6729,79.09451
2300,1197.25,1.5,9.5,-2.0,2488.2288,79.09903
2400,1196.25,1.5,9.5,-2.0,2487.7908,79.10357
2500,1197.25,1.5,9.5,-2.0,2487.359,79.10812
2600,1196.25,1.5,9.5,-2.0,2486.933,79.11269
2700,1196.25,1.5,9.5,-2.0,2486.5134,79.11729
2800,1197.25,1.4,9.5,-2.0,2486.0996,79.121895
2900,1196.25,1.4,9.5,-2.0,2485.6921,79.126526
3000,1196.75,1.4,9.5,-2.0,2485.2903,79.13118
3100,1197.75,1.4,9.5,-2.0,2484.8948,79.13584
3200,1198.75,1.4,9.5,-2.0,2484.5051,79.14053
3300,1199.75,1.4,9.5,-2.0,2484.1216,79.14523
3400,1199.75,1.4,9.5,-2.0,2483.744,79.149956
3500,1199.5,1.4,9.5,-2.0,2483.3723,79.1547
3600,1199.5,1.4,9.5,-2.0,2483.0066,79.15946
3700,1199.75,1.4,9.5,-2.0,2482.647,79.164246
3800,1199.25,1.4,9.5,-2.0,2482.2932,79.169044
3900,1198.25,1.4,9.5,-2.0,2481.9453,79.17386
4000,1199.25,1.4,9.5,-2.0,2481.6035,79.178696
4100,1199.25,1.4,9.5,-2.0,2481.2676,79.18355
4200,1199.75,1.4,9.5,-2.0,2480.9375,79.18842
4300,1201.25,1.4,9.5,-2.0,2480.6133,79.19331
4400,1201.75,1.4,9.5,-2.0,2480.2952,79.19823
4500,1201.75,1.4,9.5,-2.0,2479.9827,79.203156
4600,1201.75,1.4,9.5,-2.0,2479.6763,79.2081
4700,1201.75,1.4,9.5,-2.0,2479.3755,79.213066
4800,1201.25,1.4,9.5,-2.0,2479.0808,79.21805
4900,1201.25,1.4,9.5,-2.0,2478.792,79.22305
5000,1201.0,1.4,9.5,-2.0,2478.5088,79.22807
5100,1200.25,1.4,9.5,-2.0,2478.2317,79.23311
5200,1200.25,1.4,9.5,-2.0,2477.9602,79.23817
5300,1200.75,1.4,9.5,-2.0,2477.6946,79.24324
